design_name,total_input_bits,total_output_bits,total_register_bits,total_logic_operator_bits,total_adder_sub_bits,total_multiplier_bits,total_comparator_bits,total_multiplexer_bits,total_shift_bits,total_division_bits,total_memory_write_addr_bits,total_memory_write_addr_width,total_memory_read_addr_bits,total_memory_read_addr_width,average_tree_depth,average_wire_width
i2c,-0.3356597,-0.431412,-0.22153021,-0.48722622,2.7683685,0.0,6.525062,3.2553637,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,0.21867499,2.8269331
s1196,-0.50348955,-0.431412,-0.4705109,-0.3995633,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,-1.2159768,-0.2977507
s1196a,-0.41957462,-0.431412,-0.4705109,-0.3995633,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,-1.2159768,-0.2977507
s1196b,-0.41957462,-0.431412,-0.4705109,-0.3995633,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,-1.2159768,-0.2977507
s1238,-0.50348955,-0.431412,-0.4705109,-0.39369678,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,-1.1988128,-0.2977507
s1238a,-0.41957462,-0.431412,-0.4705109,-0.39369678,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,-1.1988128,-0.2977507
s13207,1.5104687,1.2862911,0.9328348,0.64736325,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,1.2558523,-0.2977507
s13207a,1.5943836,1.2862911,0.9328348,0.64736325,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,1.2558523,-0.2977507
s1423,-0.37761718,-0.5434361,-0.3437571,-0.39302632,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,0.50878674,-0.2977507
s1423a,-0.29370224,-0.5434361,-0.3437571,-0.39302632,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,0.50878674,-0.2977507
s1488,-0.75523436,-0.3691764,-0.49767244,-0.38347223,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,0.08057693,-0.2977507
s15850,2.1398306,1.2613968,0.6974349,0.8815221,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,0.25396743,-0.2977507
s15850a,2.2237456,1.2613968,0.6974349,0.8815221,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,0.25396743,-0.2977507
s27,-0.9230642,-0.5932246,-0.50446284,-0.5160561,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,-1.5056561,-0.2977507
s298,-0.88110673,-0.530989,-0.47956476,-0.4870586,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,0.9654438,-0.2977507
s344,-0.6293619,-0.46875337,-0.4773013,-0.48756146,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,0.20134322,-0.2977507
s349,-0.6293619,-0.46875337,-0.4773013,-0.4867234,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,0.14111215,-0.2977507
s35932,0.37761718,3.3774078,3.4000072,3.148857,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,1.2351041,-0.2977507
s382,-0.96502167,-0.530989,-0.46372053,-0.47582838,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,0.30520675,-0.2977507
s38417,0.08391493,0.7137234,3.1917686,3.0420861,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,0.971848,-0.2977507
s38584,0.50348955,3.178254,2.716442,2.9306219,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,-0.4780774,-0.2977507
s38584a,0.50348955,3.178254,2.716442,2.9306219,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,-0.4780774,-0.2977507
s386,-0.71327686,-0.5185419,-0.49767244,-0.48219776,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,-0.7741802,-0.2977507
s400,-0.88110673,-0.530989,-0.46372053,-0.47348177,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,0.33228588,-0.2977507
s420,-0.3356597,-0.5932246,-0.47503784,-0.47012946,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,1.3465167,-0.2977507
s444,-0.88110673,-0.530989,-0.46372053,-0.4686209,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,0.36125574,-0.2977507
s510,-0.20978731,-0.5185419,-0.49767244,-0.46124583,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,1.4716042,-0.2977507
s526,-0.88110673,-0.530989,-0.46372053,-0.4597373,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,1.289854,-0.2977507
s526a,-0.88110673,-0.530989,-0.46372053,-0.4597373,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,1.2940222,-0.2977507
s5378,0.37761718,0.004237342,-0.10609372,0.0028815465,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,0.35256055,-0.2977507
s5378a,0.4615321,0.004237342,-0.10609372,0.0028815465,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,0.35256055,-0.2977507
s641,0.37761718,-0.30694076,-0.46824744,-0.4639277,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,-1.0289055,-0.2977507
s713,0.37761718,-0.31938788,-0.46824744,-0.4619163,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,-0.9899138,-0.2977507
s820,-0.25174478,-0.3691764,-0.4999359,-0.41498396,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,-1.0068344,-0.2977507
s820a,-0.25174478,-0.3691764,-0.4999359,-0.41498396,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,-1.0068344,-0.2977507
s832,-0.25174478,-0.3691764,-0.4999359,-0.4133078,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,-1.003357,-0.2977507
s832a,-0.25174478,-0.3691764,-0.4999359,-0.4133078,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,-1.003357,-0.2977507
s838,0.41957462,-0.5932246,-0.43882245,-0.41917434,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,2.2261755,-0.2977507
s9234,0.41957462,-0.1202339,-0.03366297,0.2884984,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,0.13273238,-0.2977507
s9234a,0.50348955,-0.1202339,-0.03366297,0.2884984,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,0.13273238,-0.2977507
s953,-0.3356597,-0.31938788,-0.44561285,-0.4188391,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,-0.31944346,-0.2977507
s953a,-0.3356597,-0.31938788,-0.44561285,-0.4188391,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,-0.31944346,-0.2977507
sasc,-0.4615321,-0.45630625,-0.29848787,-0.5095191,2.93101,0.0,0.012086793,0.7258291,-0.14586498,0.0,4.692683,4.692683,0.3998631,2.6083007,0.21210244,0.55121326
simple_spi,-0.4615321,-0.45630625,-0.27585328,-0.4996298,4.394785,0.0,0.22636218,0.9621043,-0.14586498,0.0,4.692683,4.692683,0.3998631,2.6083007,-0.57341844,1.0016277
ss_pcm,-0.3356597,-0.4936476,-0.31206864,-0.5153856,0.32874373,0.0,-0.18225601,0.7883726,6.7097898,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,-0.6517621,2.256817
systemcdes,4.405534,0.20339133,-0.076668724,-0.46996182,0.32874373,0.0,0.5353174,4.839797,-0.14586498,0.0,-0.2085637,-0.2085637,6.6643844,5.4592338,-2.233342,5.2810082
usb_phy,-0.50348955,-0.3816235,-0.28943405,-0.48772907,2.4430852,0.0,1.1731604,2.4075527,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,1.7572407,0.29017854
